source,id,title,agencies,publication_date,type,comments_close_on,html_url
FR,2023-20766,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-AI Infrastructure Alliance, Inc.","Justice Department, Antitrust Division",2023-09-26,Notice,,https://www.federalregister.gov/documents/2023/09/26/2023-20766/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-ai-infrastructure
FR,2023-17345,"Notice Pursuant to the National Cooperative Research and Production Act Of 1993-AI Infrastructure Alliance, Inc.","Justice Department, Antitrust Division",2023-08-14,Notice,,https://www.federalregister.gov/documents/2023/08/14/2023-17345/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-ai-infrastructure
FR,2023-16377,Conflicts of Interest Associated With the Use of Predictive Data Analytics by Broker-Dealers and Investment Advisers,Securities and Exchange Commission,2023-08-09,Proposed Rule,,https://www.federalregister.gov/documents/2023/08/09/2023-16377/conflicts-of-interest-associated-with-the-use-of-predictive-data-analytics-by-broker-dealers-and
FR,2023-06181,Antitrust Division,Justice Department,2023-03-27,Notice,,https://www.federalregister.gov/documents/2023/03/27/2023-06181/antitrust-division
FR,2023-01375,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-AI Infrastructure Alliance, Inc.","Justice Department, Antitrust Division",2023-01-25,Notice,,https://www.federalregister.gov/documents/2023/01/25/2023-01375/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-ai-infrastructure
FR,2025-19534,"Fire Prevention Week, 2025",Executive Office of the President,2025-10-09,Presidential Document,,https://www.federalregister.gov/documents/2025/10/09/2025-19534/fire-prevention-week-2025
FR,2025-19493,Automated Search Pilot Program,"Commerce Department, Patent and Trademark Office",2025-10-08,Notice,,https://www.federalregister.gov/documents/2025/10/08/2025-19493/automated-search-pilot-program
FR,2025-19497,"National Manufacturing Day, 2025",Executive Office of the President,2025-10-07,Presidential Document,,https://www.federalregister.gov/documents/2025/10/07/2025-19497/national-manufacturing-day-2025
FR,2025-19495,Unlocking Cures for Pediatric Cancer With Artificial Intelligence,Executive Office of the President,2025-10-07,Presidential Document,,https://www.federalregister.gov/documents/2025/10/07/2025-19495/unlocking-cures-for-pediatric-cancer-with-artificial-intelligence
FR,2025-19268,Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Point Source Category-Deadline Extensions,Environmental Protection Agency,2025-10-02,Proposed Rule,,https://www.federalregister.gov/documents/2025/10/02/2025-19268/effluent-limitations-guidelines-and-standards-for-the-steam-electric-power-generating-point-source
FR,2025-19091,2025 Community Development Revolving Loan Fund,National Credit Union Administration,2025-10-01,Notice,,https://www.federalregister.gov/documents/2025/10/01/2025-19091/2025-community-development-revolving-loan-fund
FR,2025-18737,Notice of Request for Information; Regulatory Reform on Artificial Intelligence,Science and Technology Policy Office,2025-09-26,Notice,,https://www.federalregister.gov/documents/2025/09/26/2025-18737/notice-of-request-for-information-regulatory-reform-on-artificial-intelligence
FR,2025-18695,Advisory Committee on the Medical Uses of Isotopes: Meeting Notice,Nuclear Regulatory Commission,2025-09-26,Notice,,https://www.federalregister.gov/documents/2025/09/26/2025-18695/advisory-committee-on-the-medical-uses-of-isotopes-meeting-notice
FR,2025-18640,Proposed Priority and Definitions-Secretary's Supplemental Priority and Definitions on Meaningful Learning Opportunities,Education Department,2025-09-25,Proposed Rule,,https://www.federalregister.gov/documents/2025/09/25/2025-18640/proposed-priority-and-definitions-secretarys-supplemental-priority-and-definitions-on-meaningful
FR,2025-18639,Proposed Priority and Definitions-Secretary's Supplemental Priority and Definitions on Career Pathways and Workforce Readiness,Education Department,2025-09-25,Proposed Rule,,https://www.federalregister.gov/documents/2025/09/25/2025-18639/proposed-priority-and-definitions-secretarys-supplemental-priority-and-definitions-on-career
FR,2025-18321,Regulatory Flexibility Agenda,Securities and Exchange Commission,2025-09-22,Notice,,https://www.federalregister.gov/documents/2025/09/22/2025-18321/regulatory-flexibility-agenda
FR,2025-18318,Unified Agenda of Federal Regulatory and Deregulatory Actions-Spring 2025,Federal Communications Commission,2025-09-22,Notice,,https://www.federalregister.gov/documents/2025/09/22/2025-18318/unified-agenda-of-federal-regulatory-and-deregulatory-actions-spring-2025
FR,2025-18229,Information Security and Privacy Advisory Board,"Commerce Department, National Institute of Standards and Technology",2025-09-19,Notice,,https://www.federalregister.gov/documents/2025/09/19/2025-18229/information-security-and-privacy-advisory-board
FR,2025-18191,Ocean Research Advisory Panel (ORAP),"Commerce Department, National Oceanic and Atmospheric Administration",2025-09-19,Notice,,https://www.federalregister.gov/documents/2025/09/19/2025-18191/ocean-research-advisory-panel-orap
FR,2025-18121,Notice of Request for Information; Technology Roadmap To Increase Wildfire Firefighting Capabilities,Science and Technology Policy Office,2025-09-19,Notice,,https://www.federalregister.gov/documents/2025/09/19/2025-18121/notice-of-request-for-information-technology-roadmap-to-increase-wildfire-firefighting-capabilities
FR,2025-18058,Accelerating Speed to Power/Winning the Artificial Intelligence Race: Federal Action To Rapidly Expand Grid Capacity and Enable Electricity Demand Growth,Energy Department,2025-09-18,Notice,,https://www.federalregister.gov/documents/2025/09/18/2025-18058/accelerating-speed-to-powerwinning-the-artificial-intelligence-race-federal-action-to-rapidly-expand
FR,2025-17960,Proposed Priority and Definitions-Secretary's Supplemental Priority and Definitions on Promoting Patriotic Education,Education Department,2025-09-17,Proposed Rule,,https://www.federalregister.gov/documents/2025/09/17/2025-17960/proposed-priority-and-definitions-secretarys-supplemental-priority-and-definitions-on-promoting
FR,2025-17893,Additions and Revisions to the Entity List,"Commerce Department, Industry and Security Bureau",2025-09-16,Rule,,https://www.federalregister.gov/documents/2025/09/16/2025-17893/additions-and-revisions-to-the-entity-list
FR,2025-17710,Privacy Act of 1974; System of Records,Veterans Affairs Department,2025-09-15,Notice,,https://www.federalregister.gov/documents/2025/09/15/2025-17710/privacy-act-of-1974-system-of-records
FR,2025-17651,Digital Health Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments-Generative Artificial Intelligence-Enabled Digital Mental Health Medical Devices,"Health and Human Services Department, Food and Drug Administration",2025-09-12,Notice,,https://www.federalregister.gov/documents/2025/09/12/2025-17651/digital-health-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for
FR,2025-17532,Notice of Public Meetings of the Illinois Advisory Committee to the U.S. Commission on Civil Rights,Civil Rights Commission,2025-09-11,Notice,,https://www.federalregister.gov/documents/2025/09/11/2025-17532/notice-of-public-meetings-of-the-illinois-advisory-committee-to-the-us-commission-on-civil-rights
FR,2025-17361,Cooperative Research and Development Agreement: “VoiceBrain”,"Homeland Security Department, Coast Guard",2025-09-10,Notice,,https://www.federalregister.gov/documents/2025/09/10/2025-17361/cooperative-research-and-development-agreement-voicebrain
FR,2025-17310,"Final Priorities and Definitions-Secretary's Supplemental Priorities and Definitions on Evidence-Based Literacy, Education Choice, and Returning Education to the States",Education Department,2025-09-09,Rule,,https://www.federalregister.gov/documents/2025/09/09/2025-17310/final-priorities-and-definitions-secretarys-supplemental-priorities-and-definitions-on
FR,2025-17086,"United States of America et al. v. RealPage, Inc. et al. Proposed Final Judgment and Competitive Impact Statement","Justice Department, Antitrust Division",2025-09-05,Notice,,https://www.federalregister.gov/documents/2025/09/05/2025-17086/united-states-of-america-et-al-v-realpage-inc-et-al-proposed-final-judgment-and-competitive-impact
FR,2025-16571,Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs,Education Department,2025-08-29,Notice,,https://www.federalregister.gov/documents/2025/08/29/2025-16571/common-instructions-and-information-for-applicants-to-department-of-education-discretionary-grant
FR,2025-16235,Implementing Voluntary Agreements Under the Defense Production Act,Energy Department,2025-08-25,Rule,,https://www.federalregister.gov/documents/2025/08/25/2025-16235/implementing-voluntary-agreements-under-the-defense-production-act
FR,2025-16089,Protecting Consumers From Unauthorized Carrier Changes and Related Unauthorized Charges: Truth-in-Billing and Billing Format,Federal Communications Commission,2025-08-22,Proposed Rule,,https://www.federalregister.gov/documents/2025/08/22/2025-16089/protecting-consumers-from-unauthorized-carrier-changes-and-related-unauthorized-charges
FR,2025-16019,Western Pacific Fishery Management Council; Public Meetings,"Commerce Department, National Oceanic and Atmospheric Administration",2025-08-21,Notice,,https://www.federalregister.gov/documents/2025/08/21/2025-16019/western-pacific-fishery-management-council-public-meetings
FR,2025-15697,Request for Comment on Innovative Methods To Detect Illicit Activity Involving Digital Assets,Treasury Department,2025-08-18,Notice,,https://www.federalregister.gov/documents/2025/08/18/2025-15697/request-for-comment-on-innovative-methods-to-detect-illicit-activity-involving-digital-assets
FR,2025-14744,Supporting Fairness and Originality in NIH Research Applications,"Health and Human Services Department, National Institutes of Health",2025-08-05,Notice,,https://www.federalregister.gov/documents/2025/08/05/2025-14744/supporting-fairness-and-originality-in-nih-research-applications
FR,2025-14681,"Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals (IPPS) and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year (FY) 2026 Rates; Changes to the FY 2025 IPPS Rates Due to Court Decision; Requirements for Quality Programs; and Other Policy Changes; Health Data, Technology, and Interoperability: Electronic Prescribing, Real-Time Prescription Benefit and Electronic Prior Authorization","Health and Human Services Department, Centers for Medicare & Medicaid Services, ",2025-08-04,Rule,,https://www.federalregister.gov/documents/2025/08/04/2025-14681/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-ipps-and
FR,2025-14217,Preventing Woke AI in the Federal Government,Executive Office of the President,2025-07-28,Presidential Document,,https://www.federalregister.gov/documents/2025/07/28/2025-14217/preventing-woke-ai-in-the-federal-government
FR,2025-14212,Accelerating Federal Permitting of Data Center Infrastructure,Executive Office of the President,2025-07-28,Presidential Document,,https://www.federalregister.gov/documents/2025/07/28/2025-14212/accelerating-federal-permitting-of-data-center-infrastructure
FR,2025-13706,Sunshine Act Meetings,National Credit Union Administration,2025-07-21,Notice,,https://www.federalregister.gov/documents/2025/07/21/2025-13706/sunshine-act-meetings
FR,2025-13650,Proposed Priority and Definitions-Secretary's Supplemental Priority and Definitions on Advancing Artificial Intelligence in Education,Education Department,2025-07-21,Proposed Rule,,https://www.federalregister.gov/documents/2025/07/21/2025-13650/proposed-priority-and-definitions-secretarys-supplemental-priority-and-definitions-on-advancing
FR,2025-13360,Medicare and Medicaid Programs: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems; Quality Reporting Programs; Overall Hospital Quality Star Ratings; and Hospital Price Transparency,"Health and Human Services Department, Centers for Medicare & Medicaid Services, ",2025-07-17,Proposed Rule,,https://www.federalregister.gov/documents/2025/07/17/2025-13360/medicare-and-medicaid-programs-hospital-outpatient-prospective-payment-and-ambulatory-surgical
FR,2025-13342,Air Plan Partial Approval and Partial Disapproval; Colorado; Regional Haze Plan for the Second Implementation Period,Environmental Protection Agency,2025-07-16,Proposed Rule,,https://www.federalregister.gov/documents/2025/07/16/2025-13342/air-plan-partial-approval-and-partial-disapproval-colorado-regional-haze-plan-for-the-second
FR,2025-13271,Medicare and Medicaid Programs; CY 2026 Payment Policies Under the Physician Fee Schedule and Other Changes to Part B Payment and Coverage Policies; Medicare Shared Savings Program Requirements; and Medicare Prescription Drug Inflation Rebate Program,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2025-07-16,Proposed Rule,,https://www.federalregister.gov/documents/2025/07/16/2025-13271/medicare-and-medicaid-programs-cy-2026-payment-policies-under-the-physician-fee-schedule-and-other
FR,2025-13262,Federal Advisory Committee Act; Technological Advisory Council,Federal Communications Commission,2025-07-16,Notice,,https://www.federalregister.gov/documents/2025/07/16/2025-13262/federal-advisory-committee-act-technological-advisory-council
FR,2025-13154,Applications for New Awards; Asian American and Native American Pacific Islander-Serving Institutions Program,Education Department,2025-07-14,Notice,,https://www.federalregister.gov/documents/2025/07/14/2025-13154/applications-for-new-awards-asian-american-and-native-american-pacific-islander-serving-institutions
FR,2025-13153,"Applications for New Awards; Alaska Native and Native Hawaiian-Serving Institutions Program, Part A",Education Department,2025-07-14,Notice,,https://www.federalregister.gov/documents/2025/07/14/2025-13153/applications-for-new-awards-alaska-native-and-native-hawaiian-serving-institutions-program-part-a
FR,2025-13151,Applications for New Awards; Native American-Serving Nontribal Institutions Program,Education Department,2025-07-14,Notice,,https://www.federalregister.gov/documents/2025/07/14/2025-13151/applications-for-new-awards-native-american-serving-nontribal-institutions-program
FR,2025-12887,"United States v. Hewlett Packard Enterprise Co., et al.; Proposed Final Judgment and Competitive Impact Statement","Justice Department, Antitrust Division",2025-07-10,Notice,,https://www.federalregister.gov/documents/2025/07/10/2025-12887/united-states-v-hewlett-packard-enterprise-co-et-al-proposed-final-judgment-and-competitive-impact
FR,2025-12513,Deep Seabed Mining: Revisions to Regulations for Exploration License and Commercial Recovery Permit Applications,"Commerce Department, National Oceanic and Atmospheric Administration",2025-07-07,Proposed Rule,,https://www.federalregister.gov/documents/2025/07/07/2025-12513/deep-seabed-mining-revisions-to-regulations-for-exploration-license-and-commercial-recovery-permit
FR,2025-12418,Agency Information Collection Activities; Proposed Collection; Comment Request; Emerging Drug Safety Technology Meeting Program,"Health and Human Services Department, Food and Drug Administration",2025-07-03,Notice,,https://www.federalregister.gov/documents/2025/07/03/2025-12418/agency-information-collection-activities-proposed-collection-comment-request-emerging-drug-safety
FR,2025-12195,Medicare Program; Implementation of Prior Authorization for Select Services for the Wasteful and Inappropriate Services Reduction (WISeR) Model,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2025-07-01,Notice,,https://www.federalregister.gov/documents/2025/07/01/2025-12195/medicare-program-implementation-of-prior-authorization-for-select-services-for-the-wasteful-and
FR,2025-11862,Adoption of Recommendations,Administrative Conference of the United States,2025-06-27,Notice,,https://www.federalregister.gov/documents/2025/06/27/2025-11862/adoption-of-recommendations
FR,2025-11807,Innovative Rehabilitation Training Program,Education Department,2025-06-26,Rule,,https://www.federalregister.gov/documents/2025/06/26/2025-11807/innovative-rehabilitation-training-program
FR,2025-11805,Applications for New Awards; Rehabilitation Training: Innovative Rehabilitation Training Program,Education Department,2025-06-26,Notice,,https://www.federalregister.gov/documents/2025/06/26/2025-11805/applications-for-new-awards-rehabilitation-training-innovative-rehabilitation-training-program
FR,2025-11612,"Applications for New Awards; Educational Technology, Media, and Materials for Individuals With Disabilities-National Center To Improve Faculty Capacity To Use Educational Technology in Special Education Personnel and Leadership Preparation Programs",Education Department,2025-06-25,Notice,,https://www.federalregister.gov/documents/2025/06/25/2025-11612/applications-for-new-awards-educational-technology-media-and-materials-for-individuals-with
FR,2025-11379,Notice of Request for Information; National Strategic Plan for Advanced Manufacturing,Science and Technology Policy Office,2025-06-20,Notice,,https://www.federalregister.gov/documents/2025/06/20/2025-11379/notice-of-request-for-information-national-strategic-plan-for-advanced-manufacturing
FR,2025-11374,"Request for Information on Key Technology Focus Areas for the National Science Foundation's Directorate for Technology, Innovation and Partnerships",National Science Foundation,2025-06-20,Notice,,https://www.federalregister.gov/documents/2025/06/20/2025-11374/request-for-information-on-key-technology-focus-areas-for-the-national-science-foundations
FR,2025-11331,"Joint Industry Plan; Order Approving an Amendment to the National Market System Plan Governing the Consolidated Audit Trail, as Modified by the Commission, Regarding the Reporting of Certain Verbal Activity, Floor and Upstairs Activity",Securities and Exchange Commission,2025-06-20,Notice,,https://www.federalregister.gov/documents/2025/06/20/2025-11331/joint-industry-plan-order-approving-an-amendment-to-the-national-market-system-plan-governing-the
FR,2025-11358,Empowering Commonsense Wildfire Prevention and Response,Executive Office of the President,2025-06-18,Presidential Document,,https://www.federalregister.gov/documents/2025/06/18/2025-11358/empowering-commonsense-wildfire-prevention-and-response
FR,2025-11170,"NTIA Listening Session on Bolstering Data Center Growth, Resilience and Security","Commerce Department, National Telecommunications and Information Administration",2025-06-17,Notice,,https://www.federalregister.gov/documents/2025/06/17/2025-11170/ntia-listening-session-on-bolstering-data-center-growth-resilience-and-security
FR,2025-11118,Applications for New Awards; Rehabilitation Training: Rehabilitation Long-Term Training Program,Education Department,2025-06-17,Notice,,https://www.federalregister.gov/documents/2025/06/17/2025-11118/applications-for-new-awards-rehabilitation-training-rehabilitation-long-term-training-program
FR,2025-11117,Final Priorities and Requirements-Rehabilitation Long-Term Training Program,Education Department,2025-06-17,Rule,,https://www.federalregister.gov/documents/2025/06/17/2025-11117/final-priorities-and-requirements-rehabilitation-long-term-training-program
FR,2025-11105,Applications for New Awards; National Vocational Rehabilitation Technical Assistance Center,Education Department,2025-06-17,Notice,,https://www.federalregister.gov/documents/2025/06/17/2025-11105/applications-for-new-awards-national-vocational-rehabilitation-technical-assistance-center
FR,2025-11103,National Vocational Rehabilitation Technical Assistance Center,Education Department,2025-06-17,Rule,,https://www.federalregister.gov/documents/2025/06/17/2025-11103/national-vocational-rehabilitation-technical-assistance-center
FR,2025-10992,National Emission Standards for Hazardous Air Pollutants: Coal- and Oil-Fired Electric Utility Steam Generating Units,Environmental Protection Agency,2025-06-17,Proposed Rule,,https://www.federalregister.gov/documents/2025/06/17/2025-10992/national-emission-standards-for-hazardous-air-pollutants-coal--and-oil-fired-electric-utility-steam
FR,2025-10991,Repeal of Greenhouse Gas Emissions Standards for Fossil Fuel-Fired Electric Generating Units,Environmental Protection Agency,2025-06-17,Proposed Rule,,https://www.federalregister.gov/documents/2025/06/17/2025-10991/repeal-of-greenhouse-gas-emissions-standards-for-fossil-fuel-fired-electric-generating-units
FR,2025-10851,Solicitation of Nominations for Appointment to the Advisory Committee to the Director,"Health and Human Services Department, Centers for Disease Control and Prevention",2025-06-16,Notice,,https://www.federalregister.gov/documents/2025/06/16/2025-10851/solicitation-of-nominations-for-appointment-to-the-advisory-committee-to-the-director
FR,2025-10536,"United States v. Keysight Technologies Inc., et al.; Proposed Final Judgment and Competitive Impact Statement","Justice Department, Antitrust Division",2025-06-12,Notice,,https://www.federalregister.gov/documents/2025/06/12/2025-10536/united-states-v-keysight-technologies-inc-et-al-proposed-final-judgment-and-competitive-impact
FR,2025-10814,Unleashing American Drone Dominance,Executive Office of the President,2025-06-11,Presidential Document,,https://www.federalregister.gov/documents/2025/06/11/2025-10814/unleashing-american-drone-dominance
FR,2025-10804,Sustaining Select Efforts To Strengthen the Nation's Cybersecurity and Amending Executive Order 13694 and Executive Order 14144,Executive Office of the President,2025-06-11,Presidential Document,,https://www.federalregister.gov/documents/2025/06/11/2025-10804/sustaining-select-efforts-to-strengthen-the-nations-cybersecurity-and-amending-executive-order-13694
FR,2025-09801,Reinvigorating the Nuclear Industrial Base,Executive Office of the President,2025-05-29,Presidential Document,,https://www.federalregister.gov/documents/2025/05/29/2025-09801/reinvigorating-the-nuclear-industrial-base
FR,2025-09798,Ordering the Reform of the Nuclear Regulatory Commission,Executive Office of the President,2025-05-29,Presidential Document,,https://www.federalregister.gov/documents/2025/05/29/2025-09798/ordering-the-reform-of-the-nuclear-regulatory-commission
FR,2025-09251,Agency Information Collection Activities; Extension of Collection; National Electronic Injury Surveillance System (NEISS) and Follow-Up Activities for Product Related Injuries,Consumer Product Safety Commission,2025-05-23,Notice,,https://www.federalregister.gov/documents/2025/05/23/2025-09251/agency-information-collection-activities-extension-of-collection-national-electronic-injury
FR,2025-09236,Investigation Into Flags of Convenience and Unfavorable Conditions Created by Certain Flagging Practices,Federal Maritime Commission,2025-05-22,Notice,,https://www.federalregister.gov/documents/2025/05/22/2025-09236/investigation-into-flags-of-convenience-and-unfavorable-conditions-created-by-certain-flagging
FR,2025-09093,"Proposed Priorities and Definitions-Secretary's Supplemental Priorities and Definitions on Evidence-Based Literacy, Education Choice, and Returning Education to the States",Education Department,2025-05-21,Proposed Rule,,https://www.federalregister.gov/documents/2025/05/21/2025-09093/proposed-priorities-and-definitions-secretarys-supplemental-priorities-and-definitions-on
FR,2025-08853,Senior Executive Service Positions That Were Career Reserved During Calendar Year 2024,Personnel Management Office,2025-05-20,Notice,,https://www.federalregister.gov/documents/2025/05/20/2025-08853/senior-executive-service-positions-that-were-career-reserved-during-calendar-year-2024
FR,2025-08867,Harvard University et al.; Notice of Decision on Application for Duty-Free Entry of Scientific Instruments,"Commerce Department, International Trade Administration",2025-05-19,Notice,,https://www.federalregister.gov/documents/2025/05/19/2025-08867/harvard-university-et-al-notice-of-decision-on-application-for-duty-free-entry-of-scientific
FR,2025-08701,Request for Information; Health Technology Ecosystem,"Health and Human Services Department, Centers for Medicare & Medicaid Services",2025-05-16,Notice,,https://www.federalregister.gov/documents/2025/05/16/2025-08701/request-for-information-health-technology-ecosystem
FR,2025-08464,"United States et al. v. RealPage, Inc. et al.","Justice Department, Antitrust Division",2025-05-14,Notice,,https://www.federalregister.gov/documents/2025/05/14/2025-08464/united-states-et-al-v-realpage-inc-et-al
FR,2025-08280,Request for Information Regarding Community Bank Digitalization,"Treasury Department, Comptroller of the Currency",2025-05-12,Notice,,https://www.federalregister.gov/documents/2025/05/12/2025-08280/request-for-information-regarding-community-bank-digitalization
FR,2025-06865,Wireless E911 Location Accuracy Requirements,Federal Communications Commission,2025-05-07,Proposed Rule,,https://www.federalregister.gov/documents/2025/05/07/2025-06865/wireless-e911-location-accuracy-requirements
FR,2025-07617,"Workado, LLC, f/k/a Content at Scale AI; Analysis of Proposed Consent Order To Aid Public Comment",Federal Trade Commission,2025-05-02,Notice,,https://www.federalregister.gov/documents/2025/05/02/2025-07617/workado-llc-fka-content-at-scale-ai-analysis-of-proposed-consent-order-to-aid-public-comment
FR,2025-07570,"World Intellectual Property Day, 2025",Executive Office of the President,2025-04-30,Presidential Document,,https://www.federalregister.gov/documents/2025/04/30/2025-07570/world-intellectual-property-day-2025
FR,2025-07332,Request for Information on the Development of a 2025 National Artificial Intelligence (AI) Research and Development (R&D) Strategic Plan,National Science Foundation,2025-04-29,Notice,,https://www.federalregister.gov/documents/2025/04/29/2025-07332/request-for-information-on-the-development-of-a-2025-national-artificial-intelligence-ai-research
FR,2025-07369,Preparing Americans for High-Paying Skilled Trade Jobs of the Future,Executive Office of the President,2025-04-28,Presidential Document,,https://www.federalregister.gov/documents/2025/04/28/2025-07369/preparing-americans-for-high-paying-skilled-trade-jobs-of-the-future
FR,2025-07368,Advancing Artificial Intelligence Education for American Youth,Executive Office of the President,2025-04-28,Presidential Document,,https://www.federalregister.gov/documents/2025/04/28/2025-07368/advancing-artificial-intelligence-education-for-american-youth
FR,2025-05904,Children's Online Privacy Protection Rule,Federal Trade Commission,2025-04-22,Rule,,https://www.federalregister.gov/documents/2025/04/22/2025-05904/childrens-online-privacy-protection-rule
FR,2025-06716,Request for Nominations for Members To Serve on National Institute of Standards and Technology and National Technical Information Service Federal Advisory Committees,"Commerce Department, National Institute of Standards and Technology",2025-04-18,Notice,,https://www.federalregister.gov/documents/2025/04/18/2025-06716/request-for-nominations-for-members-to-serve-on-national-institute-of-standards-and-technology-and
FR,2025-06008,"Medicare and Medicaid Programs; Contract Year 2026 Policy and Technical Changes to the Medicare Advantage Program, Medicare Prescription Drug Benefit Program, Medicare Cost Plan Program, and Programs of All-Inclusive Care for the Elderly","Health and Human Services Department, Centers for Medicare & Medicaid Services",2025-04-15,Rule,,https://www.federalregister.gov/documents/2025/04/15/2025-06008/medicare-and-medicaid-programs-contract-year-2026-policy-and-technical-changes-to-the-medicare
FR,2025-06381,Strengthening the Reliability and Security of the United States Electric Grid,Executive Office of the President,2025-04-14,Presidential Document,,https://www.federalregister.gov/documents/2025/04/14/2025-06381/strengthening-the-reliability-and-security-of-the-united-states-electric-grid
FR,2025-06380,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Office of the President,2025-04-14,Presidential Document,,https://www.federalregister.gov/documents/2025/04/14/2025-06380/reinvigorating-americas-beautiful-clean-coal-industry-and-amending-executive-order-14241
FR,2025-06169,"Harvard University, et al.; Application(s) for Duty-Free Entry of Scientific Instruments","Commerce Department, International Trade Administration",2025-04-11,Notice,,https://www.federalregister.gov/documents/2025/04/11/2025-06169/harvard-university-et-al-applications-for-duty-free-entry-of-scientific-instruments
FR,2025-06158,"Cancer Control Month, 2025",Executive Office of the President,2025-04-09,Presidential Document,,https://www.federalregister.gov/documents/2025/04/09/2025-06158/cancer-control-month-2025
FR,2025-06097,Sunshine Act Meetings,Civil Rights Commission,2025-04-08,Notice,,https://www.federalregister.gov/documents/2025/04/08/2025-06097/sunshine-act-meetings
FR,2025-05461,Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Business Trends and Outlook Survey,"Commerce Department, Census Bureau",2025-03-31,Notice,,https://www.federalregister.gov/documents/2025/03/31/2025-05461/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for
FR,2025-05427,Additions to the Entity List,"Commerce Department, Industry and Security Bureau",2025-03-28,Rule,,https://www.federalregister.gov/documents/2025/03/28/2025-05427/additions-to-the-entity-list
FR,2025-05033,Sunshine Act Meetings,Securities and Exchange Commission,2025-03-24,Notice,,https://www.federalregister.gov/documents/2025/03/24/2025-05033/sunshine-act-meetings
FR,2025-04291,Meeting of Humanities Panel,"National Foundation on the Arts and the Humanities, National Endowment for the Humanities",2025-03-17,Notice,,https://www.federalregister.gov/documents/2025/03/17/2025-04291/meeting-of-humanities-panel
