date,agency,filing_title,keyword_count
2021-01-22,Energy Department,"DTE Electric Company v. Midcontinent Independent System Operator, Inc. and International Transmission Company, LLC; Notice of Complaint",0
2021-01-26,Energy Department,Combined Notice of Filings #1,0
2021-01-26,Energy Department,Accounting and Reporting Treatment of Certain Renewable Energy Assets,0
2021-02-01,Energy Department,Combined Notice of Filings #1,0
2021-02-05,Energy Department,Combined Notice of Filings #1,0
2021-02-18,Energy Department,Sunshine Act Meetings,0
2021-02-19,Energy Department,"Green Development, LLC v. New England Power Company, Narragansett Electric Company; Notice of Complaint",0
2021-02-23,Energy Department,Hecate Energy Greene County 3 LLC v. Central Hudson Gas & Electric Corp. and New York Independent System Operator Inc.; Notice of Complaint,0
2021-02-24,Energy Department,Commission Information Collection Activities (FERC-516G); Comment Request; Revision and Extension,1
2021-02-24,Energy Department,RTO/ISO Credit Principles and Practices; Credit Reforms in Organized Wholesale Electric Markets Supplemental Notice of Technical Conference,2
2021-02-25,Energy Department,Central Valley Project-Rate Order No. WAPA-194,0
2021-03-02,Energy Department,Safe Harbor Policy for Data Providers to Price Index Developers,0
2021-03-02,Energy Department,"RTO/ISO Credit Principles and Practices, Credit Reforms in Organized Wholesale Electric Markets; Supplemental Notice of Technical Conference",2
2021-03-04,Energy Department,RTO/ISO Credit Principles and Practices; Credit Reforms in Organized Wholesale Electric Markets; Supplemental Notice of Technical Conference,2
2021-03-11,Energy Department,Combined Notice of Filings #1,0
2021-03-16,Energy Department,Sunshine Act Meeting,0
2021-03-17,Energy Department,Offshore Wind Integration in RTOs/ISOs; Notice Inviting Post-Technical Conference Comments,2
2021-03-19,Energy Department,"Climate Change, Extreme Weather, and Electric System Reliability; Supplemental Notice of Technical Conference Inviting Comments",0
2021-03-23,Energy Department,Combined Notice of Filings #1,0
2021-03-25,Energy Department,Participation of Aggregators of Retail Demand Response Customers in Markets Operated by Regional Transmission Organizations and Independent System Operators,0
2021-03-30,Energy Department,Participation of Distributed Energy Resource Aggregations in Markets Operated by Regional Transmission Organizations and Independent System Operators,0
2021-04-12,Energy Department,Combined Notice of Filings #1,0
2021-04-12,Energy Department,Commission Information Collection Activities (FERC-516G); Comment Request; Revision and Extension,1
2021-04-14,Energy Department,Combined Notice of Filings #1,0
2021-04-16,Energy Department,"Holy Cross Electric Association, Inc.; Notice of Petition for Declaratory Order",0
2021-04-21,Energy Department,Loveland Area Projects and Western Area Colorado Missouri Balancing Authority-Rate Order No. WAPA-197,0
2021-04-21,Energy Department,"Loveland Area Projects, Western Area Colorado Missouri Balancing Authority, and Colorado River Storage Project-Rate Order No. WAPA-196",0
2021-04-21,Energy Department,Participation of Distributed Energy Resource Aggregations in Markets Operated by Regional Transmission Organizations and Independent System Operators; Correction,0
2021-04-21,Energy Department,Electrification and the Grid of the Future; Supplemental Notice of Technical Conference,1
2021-04-22,Energy Department,Combined Notice of Filings #1,0
2021-04-23,Energy Department,Carbon Pricing in Organized Wholesale Electricity Markets,0
2021-04-23,Energy Department,Combined Notice of Filings #1,0
2021-04-26,Energy Department,Electric Transmission Incentives Policy Under Section 219 of the Federal Power Act,0
2021-04-26,Energy Department,Combined Notice of Filings #1,0
2021-04-27,Energy Department,RTO/ISO Credit Principles and Practices; Credit Reforms in Organized Wholesale Electric; Notice Inviting Post-Technical Conference Comments,2
2021-04-28,Energy Department,Commission Information Collection Activities (FERC-516); Comment Request; Extension,1
2021-04-30,Energy Department,Combined Notice of Filings #1,0
2021-05-03,Energy Department,Combined Notice of Filings #1,0
2021-05-04,Energy Department,Combined Notice of Filings #1,0
2021-05-04,Energy Department,Electrification and the Grid of the Future; Supplemental Notice of Technical Conference,1
2021-05-11,Energy Department,Combined Notice of Filings #1,0
2021-05-13,Energy Department,Commission Information Collection Activities (FERC-921); Comment Request; Extension,1
2021-05-18,Energy Department,Combined Notice of Filings #1,0
2021-05-19,Energy Department,"Edgecombe Solar Energy LLC v. Duke Energy Progress, LLC, Duke Energy Carolinas, LLC, and Duke Energy Florida, LLC; Notice of Complaint",0
2021-05-19,Energy Department,Combined Notice of Filings #1,0
2021-05-21,Energy Department,Combined Notice of Filings #1,0
2021-05-24,Energy Department,Combined Notice of Filings #1,0
2021-05-25,Energy Department,"Nevada Power Company, Sierra Pacific Power Company v. California Independent System, Operator Corporation; Notice of Complaint",0
2021-05-27,Energy Department,Combined Notice of Filings #1,0
2021-05-28,Energy Department,"Application to Export Electric Energy; Intercom Energy, Inc.",0
2021-06-02,Energy Department,"Tenaska Clear Creek Wind, LLC v. Southwest Power Pool, Inc.; Notice of Complaint",0
2021-06-02,Energy Department,Standards for Business Practices and Communication Protocols for Public Utilities,0
2021-06-02,Energy Department,Hybrid Resources; Notice Inviting Comments,0
2021-06-03,Energy Department,Combined Notice of Filings #1,0
2021-06-04,Energy Department,Combined Notice of Filings #1,0
2021-06-08,Energy Department,Combined Notice of Filings #1,0
2021-06-09,Energy Department,Combined Notice of Filings #1,0
2021-06-10,Energy Department,Modernizing Electricity Market Design; Notice Inviting Post-Technical Conference Comments,0
2021-06-11,Energy Department,Combined Notice of Filings #1,0
2021-06-14,Energy Department,Combined Notice of Filings #1,0
2021-06-15,Energy Department,Combined Notice of Filings #1,0
2021-06-15,Energy Department,Sunshine Act Meetings,0
2021-06-16,Energy Department,Notice of Request for Information (RFI) on Integrating Electric Vehicles Onto the Electric Grid,1
2021-06-17,Energy Department,Combined Notice of Filings #1,0
2021-06-23,Energy Department,Combined Notice of Filings #2,0
2021-06-24,Energy Department,Commission Information Collection Activities (FERC-516g); Comment Request; Revision and Extension,1
2021-06-25,Energy Department,State Voluntary Agreements To Plan and Pay for Transmission Facilities,0
2021-06-28,Energy Department,Combined Notice of Filings #1,0
2021-06-28,Energy Department,Participation of Distributed Energy Resource Aggregations in Markets Operated by Regional Transmission Organizations and Independent System Operators,0
2021-07-02,Energy Department,Combined Notice of Filings #1,0
2021-07-02,Energy Department,"Neptune Regional Transmission System Long Island Power Authority v. PJM Interconnection, L.L.C.; Notice Establishing Paper Hearing Procedures",1
2021-07-07,Energy Department,Commission Information Collection Activities (FERC-516); Comment Request; Revision,1
2021-07-07,Energy Department,Combined Notice of Filings #2,0
2021-07-09,Energy Department,Combined Notice of Filings #1,0
2021-07-13,Energy Department,Sunshine Act Meetings,0
2021-07-20,Energy Department,Modernizing Electricity Market Design; Notice of Technical Conferences Regarding Energy and Ancillary Services Markets,0
2021-07-20,Energy Department,Commission Information Collection Activities (FERC-921); Comment Request; Extension,1
2021-07-23,Energy Department,Combined Notice of Filings #1,0
2021-07-27,Energy Department,Building for the Future Through Electric Regional Transmission Planning and Cost Allocation and Generator Interconnection,0
2021-08-02,Energy Department,Combined Notice of Filings #1,0
2021-08-03,Energy Department,Combined Notice of Filings #1,0
2021-08-04,Energy Department,Combined Notice of Filings #1,0
2021-08-05,Energy Department,Combined Notice of Filings #1,0
2021-08-09,Energy Department,"Carolinas Clean Energy Business Association v. PJM Interconnection, L.L.C., Duke Energy Process, LLC; Notice of Complaint",1
2021-08-11,Energy Department,Combined Notice of Filings #1,0
2021-08-16,Energy Department,Combined Notice of Filings #1,0
2021-08-18,Energy Department,"Kendall County Solar Project, LLC v. PJM Interconnection, L.L.C.; Notice of Complaint",1
2021-08-19,Energy Department,Combined Notice of Filings #1,0
2021-08-25,Energy Department,Combined Notice of Filings #1,0
2021-08-25,Energy Department,"Climate Change, Extreme Weather, and Electric System Reliability; Correction",0
2021-08-31,Energy Department,Colorado River Storage Project Management Center-Rate Order No. WAPA-195,0
2021-09-07,Energy Department,Combined Notice of Filings #1,0
2021-09-08,Energy Department,Combined Notice of Filings #1,0
2021-09-14,Energy Department,Combined Notice of Filings #1,0
2021-09-17,Energy Department,Combined Notice of Filings #1,0
2021-09-22,Energy Department,Building for the Future Through Electric Regional Transmission Planning and Cost Allocation and Generator Interconnection; Notice of Technical Conference,0
2021-09-24,Energy Department,Combined Notice of Filings #1,0
2021-09-28,Energy Department,Emergency Order Issued to the California Independent System Operator Corporation (CAISO) To Operate Power Generating Facilities Under Limited Circumstances in California as a Result of Extreme Weather,1
2021-09-28,Energy Department,Combined Notice of Filings #1,0
2021-09-28,Energy Department,Application To Export Electric Energy; Trafigura Trading LLC,0
2021-09-30,Energy Department,Combined Notice of Filings #1,0
2021-10-07,Energy Department,Combined Notice of Filings #1,0
2021-10-13,Energy Department,Southern California Edison Company; Notice of Filing,0
2021-10-13,Energy Department,Combined Notice of Filings #1,0
2021-10-15,Energy Department,Combined Notice of Filings #1,0
2021-10-18,Energy Department,Combined Notice of Filings #1,0
2021-10-21,Energy Department,Combined Notice of Filings #1,0
2021-10-28,Energy Department,Combined Notice of Filings #1,0
2021-10-29,Energy Department,Combined Notice of Filings #1,0
2021-11-02,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice of Meeting,0
2021-11-03,Energy Department,Combined Notice of Filings #1,0
2021-11-04,Energy Department,Combined Notice of Filings #1,0
2021-11-05,Energy Department,Combined Notice of Filings #1,0
2021-11-09,Energy Department,Building for the Future Through Electric Regional Transmission Planning and Cost Allocation and Generator Interconnection; Supplemental Notice of Technical Conference,0
2021-11-12,Energy Department,Combined Notice of Filings #1,0
2021-11-16,Energy Department,Combined Notice of Filings #1,0
2021-11-17,Energy Department,Combined Notice of Filings #1,0
2021-11-18,Energy Department,Building for the Future Through Electric Regional Transmission Planning and Cost Allocation and Generator Interconnection; Further Supplemental Notice of Technical Conference,0
2021-11-18,Energy Department,Combined Notice of Filings #1,0
2021-11-24,Energy Department,Building for the Future Through Electric Regional Transmission Planning and Cost Allocation and Generator Interconnection; Notice Inviting Post-Technical Conference Comments,0
2021-11-30,Energy Department,Reactive Power Capability Compensation,0
2021-12-06,Energy Department,Combined Notice of Filings #1,0
2021-12-07,Energy Department,Application To Amend Presidential Permit; CHPE LLC,0
2021-12-08,Energy Department,Combined Notice of Filings #1,0
2021-12-09,Energy Department,Combined Notice of Filings #1,0
2021-12-10,Energy Department,Modernizing Electricity Market Design; Notice Inviting Post-Technical Conference Comments,0
2021-12-17,Energy Department,Combined Notice of Filings #1,0
2021-12-20,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice Announcing Meeting and Inviting Agenda Topics,0
2021-12-30,Energy Department,Combined Notice of Filings #1,0
2022-01-04,Energy Department,Combined Notice of Filings #1,0
2022-01-05,Energy Department,Combined Notice of Filings #1,0
2022-01-07,Energy Department,Combined Notice of Filings #1,0
2022-01-07,Energy Department,"PacifiCorp; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications",0
2022-01-13,Energy Department,Managing Transmission Line Ratings,0
2022-01-13,Energy Department,Participation of Distributed Energy Resource Aggregations in Markets Operated by Regional Transmission Organizations and Independent System Operators; Notice of Request for Technical Conference,0
2022-01-14,Energy Department,Combined Notice of Filings #1,0
2022-01-18,Energy Department,Combined Notice of Filings #1,0
2022-01-19,Energy Department,"Building a Better Grid Initiative To Upgrade and Expand the Nation's Electric Transmission Grid To Support Resilience, Reliability, and Decarbonization",1
2022-01-19,Energy Department,Combined Notice of Filings #1,0
2022-01-26,Energy Department,Combined Notice of Filings #1,0
2022-01-27,Energy Department,Combined Notice of Filings #1,0
2022-01-28,Energy Department,Combined Notice of Filings #1,0
2022-02-04,Energy Department,Combined Notice of Filings #1,0
2022-02-08,Energy Department,Combined Notice of Filings #1,0
2022-02-08,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice of Meeting and Agenda,0
2022-02-15,Energy Department,Combined Notice of Filings #1,0
2022-02-15,Energy Department,Notice of Intent and Request for Information Regarding Establishment of a Civil Nuclear Credit Program,0
2022-02-17,Energy Department,Combined Notice of Filings #1,0
2022-02-22,Energy Department,Combined Notice of Filings #1,0
2022-02-24,Energy Department,Implementation of Dynamic Line Ratings,0
2022-02-24,Energy Department,Combined Notice of Filings #1,0
2022-03-02,Energy Department,Increasing Market and Planning Efficiency Through Improved Software; Notice of Technical Conference: Increasing Real-Time and Day-Ahead Market and Planning Efficiency Through Improved Software,0
2022-03-02,Energy Department,Combined Notice of Filings #1,0
2022-03-04,Energy Department,Combined Notice of Filings #1,0
2022-03-08,Energy Department,Combined Notice of Filings #1,0
2022-03-09,Energy Department,Combined Notice of Filings #1,0
2022-03-11,Energy Department,Combined Notice of Filings #2,0
2022-03-24,Energy Department,Combined Notice of Filings #1,0
2022-03-24,Energy Department,"Empire II, LLC; Notice of Filing",0
2022-03-29,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice Announcing Meeting and Inviting Agenda Topics,0
2022-03-29,Energy Department,Combined Notice of Filings #1,0
2022-04-01,Energy Department,Combined Notice of Filings #1,0
2022-04-04,Energy Department,Combined Notice of Filings #1,0
2022-04-04,Energy Department,"Scott's Mill Hydro, LLC; Notice of Application Tendered for Filing With the Commission and Soliciting Additional Study Requests",0
2022-04-06,Energy Department,Combined Notice of Filings #1,0
2022-04-08,Energy Department,Combined Notice of Filings #1,0
2022-04-12,Energy Department,Combined Notice of Filings #1,0
2022-04-19,Energy Department,Sunshine Act Meetings,0
2022-04-20,Energy Department,Combined Notice of Filings #1,0
2022-04-27,Energy Department,Transmission Planning and Cost Management; Notice of Technical Conference,0
2022-04-28,Energy Department,"Actions Regarding the Commission's Policy on Price Index Formation and Transparency, and Indices Referenced in Natural Gas and Electric Tariffs",0
2022-04-28,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice of Meeting and Agenda,0
2022-05-04,Energy Department,Building for the Future Through Electric Regional Transmission Planning and Cost Allocation and Generator Interconnection,0
2022-05-12,Energy Department,Notice of Intent and Request for Information Regarding Establishment of a Transmission Facilitation Program,0
2022-05-18,Energy Department,Combined Notice of Filings #1,0
2022-05-20,Energy Department,Combined Notice of Filings #1,0
2022-05-23,Energy Department,Combined Notice of Filings #1,0
2022-05-24,Energy Department,Combined Notice of Filings #1,0
2022-05-25,Energy Department,Managing Transmission Line Ratings,0
2022-05-27,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice Announcing Meeting and Inviting Agenda Topics,0
2022-06-01,Energy Department,Proposed 2025 Provo River Project Marketing Plan,0
2022-06-01,Energy Department,Proposed 2025 Olmsted Power Marketing Plan,0
2022-06-02,Energy Department,Building for the Future Through Electric Regional Transmission Planning and Cost Allocation and Generator Interconnection; Notice on Requests or Extension of Time,0
2022-06-03,Energy Department,Increasing Market and Planning Efficiency Through Improved Software; Supplemental Notice of Technical Conference on Increasing Real-Time and Day-Ahead Market and Planning Efficiency Through Improved Software,0
2022-06-03,Energy Department,Combined Notice of Filings #1,0
2022-06-09,Energy Department,Combined Notice of Filings #1,0
2022-06-10,Energy Department,Combined Notice of Filings #1,0
2022-06-10,Energy Department,Transmission Planning and Cost Management; Notice Extending Nominations for Technical Conference,0
2022-06-15,Energy Department,Sunshine Act Meetings,0
2022-06-15,Energy Department,Combined Notice of Filings #1,0
2022-06-16,Energy Department,Combined Notice of Filings #1,0
2022-06-24,Energy Department,Combined Notice of Filings #1,0
2022-06-27,Energy Department,Transmission System Planning Performance Requirements for Extreme Weather,0
2022-06-27,Energy Department,Combined Notice of Filings #1,0
2022-06-29,Energy Department,Combined Notice of Filings #1,0
2022-07-01,Energy Department,"One-Time Informational Reports on Extreme Weather Vulnerability Assessments; Climate Change, Extreme Weather, and Electric System Reliability",0
2022-07-05,Energy Department,Improvements to Generator Interconnection Procedures and Agreements,0
2022-07-06,Energy Department,Combined Notice of Filings #1,0
2022-07-08,Energy Department,"Sandpiper Energy Storage, LLC; Notice of Filing",0
2022-07-08,Energy Department,"Peregrine Energy Storage, LLC; Notice of Filing",0
2022-07-18,Energy Department,Combined Notice of Filings #2,0
2022-07-19,Energy Department,Rail Tie Wind Project Record of Decision,0
2022-07-19,Energy Department,Combined Notice of Filings #1,0
2022-07-19,Energy Department,"PacifiCorp; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications",0
2022-07-20,Energy Department,Combined Notice of Filings #1,0
2022-07-22,Energy Department,Joint Federal-State Task Force on Electric Transmission; Supplemental Notice of Meeting,0
2022-07-28,Energy Department,Commission Information Collection Activity (Ferc-516a); Comment Request; Extension,1
2022-07-28,Energy Department,Transmission Planning and Cost Management; Supplemental Notice of Technical Conference,0
2022-08-03,Energy Department,"California Independent System Operator Corporation, ISO New England Inc., New York Independent System Operator, Inc., Southwest Power Pool Inc.; Notice of Institution of Section 206 Proceeding and Refund Effective Date",1
2022-08-04,Energy Department,Combined Notice of Filings #2,0
2022-08-08,Energy Department,Credit-Related Information Sharing in Organized Wholesale Electric Markets,0
2022-08-09,Energy Department,Combined Notice of Filings #1,0
2022-08-10,Energy Department,"Application To Amend Presidential Permit; Energia Sierra Juarez U.S. Transmission, LLC",0
2022-08-11,Energy Department,Combined Notice of Filings #1,0
2022-08-12,Energy Department,Duty of Candor,0
2022-08-15,Energy Department,Combined Notice of Filings #1,0
2022-08-17,Energy Department,Combined Notice of Filings #1,0
2022-08-19,Energy Department,Combined Notice of Filings #1,0
2022-08-22,Energy Department,Combined Notice of Filings #1,0
2022-08-25,Energy Department,El Paso Electric Company; Notice of Institution of Section 206 Proceeding and Refund Effective Date,0
2022-08-25,Energy Department,Combined Notice of Filings #1,0
2022-08-26,Energy Department,Combined Notice of Filings #1,0
2022-09-01,Energy Department,"Nighthawk Energy Storage, LLC; Notice of Filing",0
2022-09-07,Energy Department,Combined Notice of Filings #1,0
2022-09-15,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice Announcing Meeting and Inviting Agenda Topics,0
2022-09-15,Energy Department,Transmission Planning and Cost Management; Supplemental Notice of Technical Conference,0
2022-09-19,Energy Department,Combined Notice of Filings #1,0
2022-09-21,Energy Department,Combined Notice of Filings #1,0
2022-09-28,Energy Department,Commission Information Collection Activities; (FERC-725J); Comment Request; Extension,1
2022-10-03,Energy Department,Combined Notice of Filings #1,0
2022-10-03,Energy Department,Accounting and Reporting Treatment of Certain Renewable Energy Assets,0
2022-10-06,Energy Department,Combined Notice of Filings #2,0
2022-10-06,Energy Department,Incentives for Advanced Cybersecurity Investment; Cybersecurity Incentives,0
2022-10-06,Energy Department,Transmission Planning and Cost Management; Supplemental Notice of Technical Conference,0
2022-10-11,Energy Department,Combined Notice of Filings #1,0
2022-10-11,Energy Department,Transmission Planning and Cost Management; Supplemental Notice of Technical Conference,0
2022-10-12,Energy Department,Emergency Order Issued to the California Independent System Operator Corporation To Operate Power Generating Facilities Under Limited Circumstances in California as a Result of Extreme Weather,0
2022-10-12,Energy Department,Combined Notice of Filings #1,0
2022-10-13,Energy Department,Combined Notice of Filings #1,0
2022-10-14,Energy Department,EnerSmart Imperial Beach BESS LLC; Notice of Filing,0
2022-10-14,Energy Department,EnerSmart Mesa Heights BESS LLC; Notice of Filing,0
2022-10-17,Energy Department,Combined Notice of Filings #1,0
2022-10-18,Energy Department,Combined Notice of Filings #1,0
2022-10-19,Energy Department,Combined Notice of Filings #1,0
2022-10-20,Energy Department,Combined Notice of Filings #1,0
2022-10-21,Energy Department,Combined Notice of Filings #1,0
2022-10-26,Energy Department,Combined Notice of Filings #1,0
2022-11-01,Energy Department,Commission Information Collection Activities (FERC-725M); Comment Request; Extension,1
2022-11-03,Energy Department,Combined Notice of Filings #3,0
2022-11-07,Energy Department,Combined Notice of Filings #2,0
2022-11-16,Energy Department,Sunshine Act Meetings,0
2022-11-18,Energy Department,Fiscal Year (FY) 2024-2025 Proposed Power and Transmission Rate Adjustments Public Hearing and Opportunities for Public Review and Comment,0
2022-11-21,Energy Department,Loveland Area Projects-Rate Order No. WAPA-202,0
2022-11-22,Energy Department,Proposed Modifications To Open Access Transmission Tariff; Public Hearing and Opportunities for Public Review and Comment,0
2022-11-23,Energy Department,"Before Commissioners: Richard Glick, Chairman; James P. Danly, Allison Clements, Mark C. Christie, and Willie L. Phillips; Registration of Inverter-Based Resources; Registration of Inverter-Based Resources",0
2022-11-23,Energy Department,North American Electric Reliability Corporation; Order Approving Reliability Standards FAC-001-4 and FAC-002-4,0
2022-11-23,Energy Department,Combined Notice of Filings #1,0
2022-11-25,Energy Department,Establishing Interregional Transfer Capability Transmission Planning and Cost Allocation Requirements; Supplemental Notice of Staff-Led Workshop,0
2022-11-29,Energy Department,Combined Notice of Filings #1,0
2022-11-30,Energy Department,Combined Notice of Filings #1,0
2022-12-02,Energy Department,Notice of Staff Attendance at North American Electric Reliability Corporation Reliability and Security Technical Committee Meetings,0
2022-12-06,Energy Department,Reliability Standards To Address Inverter-Based Resources,0
2022-12-06,Energy Department,Combined Notice of Filings #1,0
2022-12-06,Energy Department,Establishing Interregional Transfer Capability Transmission Planning and Cost Allocation Requirements; Supplemental Notice of Staff-Led Workshop,0
2022-12-08,Energy Department,Commission Information Collection Activities (FERC-725J); Comment Request; Extension,1
2022-12-08,Energy Department,Notice of Staff Attendance at the ReliabilityFirst Annual Meeting of the Members and the ReliabilityFirst Board of Directors Meeting,0
2022-12-08,Energy Department,Combined Notice of Filings #2,0
2022-12-09,Energy Department,Combined Notice of Filings #1,0
2022-12-13,Energy Department,Sunshine Act Meetings,0
2022-12-21,Energy Department,Commission Information Collection Activities (FERC-516a); Comment Request; Extension,1
2022-12-28,Energy Department,Combined Notice of Filings #1,0
2022-12-29,Energy Department,Combined Notice of Filings #1,0
2022-12-30,Energy Department,Transmission Planning and Cost Management; Joint Federal-State Task Force on Electric Transmission; Notice Inviting Post-Technical Conference Comments,0
2023-01-03,Energy Department,Combined Notice of Filings #1,0
2023-01-06,Energy Department,Combined Notice of Filings #1,0
2023-01-09,Energy Department,Desert Southwest Region Ancillary Services-Rate Order No. WAPA-208,0
2023-01-11,Energy Department,Joint Federal-State Task Force on Electric Transmission; Notice Announcing Meeting and Inviting Agenda Topics,0
2023-01-11,Energy Department,Combined Notice of Filings #1,0
2023-01-12,Energy Department,Combined Notice of Filings #1,0
2023-01-17,Energy Department,Applications for Permits To Site Interstate Electric Transmission Facilities,0
2023-01-23,Energy Department,Combined Notice of Filings #1,0
2023-01-24,Energy Department,Combined Notice of Filings #1,0
2023-01-24,Energy Department,"Request for Information on Performance Metrics for ISOs, RTOs, and Utilities in Regions Outside ISOs and RTOs",2
2023-01-25,Energy Department,Combined Notice of Filings #1,0
2023-01-31,Energy Department,Combined Notice of Filings #1,0
2023-02-03,Energy Department,Combined Notice of Filings #1,0
2023-02-06,Energy Department,Commission Information Collection Activities (FERC-725M); Comment Request; Extension,1
2023-02-06,Energy Department,Combined Notice of Filings #1,0
2023-02-08,Energy Department,Combined Notice of Filings #1,0
2023-02-09,Energy Department,Combined Notice of Filings #3,0
2023-02-09,Energy Department,Combined Notice of Filings #2,0
2023-02-09,Energy Department,Internal Network Security Monitoring for High and Medium Impact Bulk Electric System Cyber Systems,0
2023-02-10,Energy Department,Pacificorp; Notice of Institution of Section 206 Proceeding and Refund Effective Date,0
2023-02-10,Energy Department,Nevada Power Company; Sierra Pacific Power Company; Notice of Institution of Section 206 Proceeding and Refund Effective Date,0
2023-02-13,Energy Department,Increasing Market and Planning Efficiency Through Improved Software; Notice of Technical Conference: Increasing Real-Time and Day-Ahead Market and Planning Efficiency Through Improved Software,0
2023-02-16,Energy Department,Combined Notice of Filings #1,0
2023-02-16,Energy Department,"Emergency Order Issued to PJM Interconnection, L.L.C. To Operate Power Generating Facilities Under Limited Circumstances in the PJM Region as a Result of Extreme Weather",1
2023-02-22,Energy Department,Combined Notice of Filings #1,0
2023-02-23,Energy Department,Combined Notice of Filings #1,0
2023-02-28,Energy Department,Combined Notice of Filings #1,0
2023-03-01,Energy Department,Combined Notice of Filings #1,0
2023-03-10,Energy Department,North American Electric Reliability Corporation; Order Approving Extreme Cold Weather Reliability Standards EOP-011-3 and EOP-012-1 and Directing Modification of Reliability Standard EOP-012-1,0
2023-03-13,Energy Department,Combined Notice of Filings #1,0
2023-03-14,Energy Department,Desert Southwest Region Ancillary Services-Rate Order No. WAPA-208,0
2023-03-17,Energy Department,Combined Notice of Filings #1,0
2023-03-17,Energy Department,Notice of Final 2025 Provo River Project Marketing Plan and Call for 2025 Resource Pool Applications,0
2023-03-17,Energy Department,Application for Renewal of Authorization To Export Electric Energy; Freepoint Commodities LLC,0
2023-03-20,Energy Department,Combined Notice of Filings #1,0
2023-03-21,Energy Department,Notice of Final 2025 Olmsted Power Marketing Plan,0
2023-03-23,Energy Department,Combined Notice of Filings #1,0
2023-03-24,Energy Department,Combined Notice of Filings #1,0
2023-03-29,Energy Department,Combined Notice of Filings #1,0
2023-03-30,Energy Department,Combined Notice of Filings #1,0
2023-03-31,Energy Department,Nevada Power Company; Notice Granting Motion To Hold Proceeding in Abeyance,0
2023-03-31,Energy Department,Combined Notice of Filings #1,0
2023-04-03,Energy Department,Pome BESS LLC; Notice of Filing,0
2023-04-04,Energy Department,Combined Notice of Filings #1,0
2023-04-05,Energy Department,Integrated System Power Rates,0
2023-04-06,Energy Department,Combined Notice of Filings #1,0
2023-04-06,Energy Department,Combined Notice of Filings #2,0
2023-04-11,Energy Department,Combined Notice of Filings #1,0
2023-04-12,Energy Department,Combined Notice of Filings #1,0
